ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,6,6,6,5,2,6,5
12-26,6,6,11,4,6,10,5
12-25,1,6,11,1,6,11,5
12-24,1,6,6,1,6,4,5
12-21,1,6,6,2,6,3,5
12-20,6,6,6,6,6,5,5
12-19,6,6,6,6,6,6,5
12-18,6,6,6,6,6,6,5
12-17,6,6,9,6,6,9,5
12-14,3,6,11,3,5,11,5
