ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,7,9,6,6,10,6,6
12-26,6,8,6,6,6,6,6
12-25,9,10,6,6,6,6,6
12-24,7,9,6,6,6,8,6
12-21,6,7,7,6,9,9,6
12-20,7,7,8,6,8,9,6
12-19,6,6,6,4,6,4,6
12-18,6,6,6,5,6,5,6
12-17,6,6,6,6,9,6,6
12-14,6,6,6,6,10,6,6
