ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,5,9,4,6,10,6,6
12-26,7,10,4,3,10,6,6
12-25,9,10,5,4,11,6,6
12-24,11,10,6,6,6,6,6
12-21,11,10,4,6,6,4,6
12-20,4,9,1,3,6,1,6
12-19,4,8,4,6,6,5,6
12-18,6,9,4,2,6,5,6
12-17,4,6,3,1,6,5,6
12-14,1,6,6,2,6,7,6
