ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,4,5,6,6,5,6,6
12-26,3,3,6,3,6,6,6
12-25,1,4,7,1,4,6,6
12-24,1,6,7,1,6,6,6
12-21,2,6,6,2,9,6,6
12-20,3,6,6,1,8,6,6
12-19,4,8,6,3,8,6,6
12-18,1,7,6,1,7,6,6
12-17,6,8,6,3,6,6,6
12-14,6,7,11,3,4,11,6
