ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,3,1,6,8,3,6,6
12-26,3,2,6,6,2,6,6
12-25,6,2,6,6,3,6,6
12-24,6,2,6,8,6,6,6
12-21,6,3,6,8,5,6,6
12-20,7,3,6,9,5,10,6
12-19,4,3,6,6,3,9,6
12-18,3,3,5,7,4,4,6
12-17,6,2,6,9,6,6,6
12-14,6,3,6,6,6,6,6
