ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,2,1,6,8,6,5,4
12-26,2,2,6,6,1,6,3
12-25,2,3,7,6,2,6,3
12-24,4,2,8,6,2,6,3
12-21,2,2,6,6,3,6,3
12-20,6,5,7,6,9,6,4
12-19,6,6,6,6,7,6,4
12-18,3,6,6,6,3,6,3
12-17,3,6,9,6,2,8,3
12-14,3,2,10,6,5,9,3
