ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,6,10,6,1,10,11,3
12-26,6,10,6,1,9,10,3
12-25,6,9,6,3,6,10,2
12-24,1,7,6,2,5,8,3
12-21,2,6,6,1,6,6,2
12-20,2,6,6,1,6,6,2
12-19,1,7,6,1,6,6,2
12-18,1,7,6,1,6,6,2
12-17,1,6,6,1,6,6,2
12-14,1,6,6,1,4,8,1
