ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,1,6,5,6,3,6,4
12-26,3,6,5,4,2,6,4
12-25,3,6,5,6,3,6,4
12-24,4,6,5,4,2,6,4
12-21,1,6,5,4,2,6,4
12-20,1,6,4,6,2,5,4
12-19,1,6,3,5,2,3,4
12-18,1,6,2,4,2,1,4
12-17,1,6,3,5,3,2,4
12-13,6,6,5,6,6,6,4
