ri_qi,zong_he,qiang_du,zi_jin,zhuan_qiang,chang_yu,jin_zi,feng_xian
12-27,3,6,6,1,6,6,6
12-26,2,6,6,1,6,6,6
12-25,2,8,10,1,6,11,6
12-24,2,9,10,1,6,11,6
12-21,1,9,6,1,6,6,6
12-20,1,10,6,1,6,6,6
12-19,3,11,6,1,6,6,6
12-18,4,11,6,1,6,6,6
12-17,3,11,6,1,6,6,6
12-14,6,11,6,1,8,6,6
